t,speed_kmh,speed_ms,yaw_rate,sideslip,heading,vx,vy,pos_x,pos_y,accel_long,rpm,gear,shift_cut,grip_FL,grip_FR,grip_RL,grip_RR,load_FL,load_FR,load_RL,load_RR,surface_type,surface_mu
0.016666666666666666,0.21285427422764427,0.059126187285456745,0.0,0.0,0.0,0.0,0.059126187285456745,0.0,0.0006278838697810682,3.4288856010188855,1000.0,1,0,0.0011418706303379573,0.0011418706303379573,0.6794306369283909,0.6794306369283909,4140.8860049229,4140.8860049229,3216.6139950771003,3216.6139950771003,asphalt,1.1575
0.03333333333333333,0.41777591350983473,0.11604886486384297,0.0,0.0,0.0,0.0,0.11604886486384297,0.0,0.002206733773178299,3.407262401200363,1000.0,1,0,0.0025927338184758156,0.0025927338184758156,0.6778803799003996,0.6778803799003996,4142.514494762576,4142.514494762576,3214.985505237424,3214.985505237424,asphalt,1.1575
0.05,0.6214051640336148,0.172612545564893,0.0,0.0,0.0,0.0,0.172612545564893,0.0,0.00473055252761727,3.3857725226882063,1000.0,1,0,0.0040333173739245465,0.0040333173739245465,0.6763383915764738,0.6763383915764738,4144.13294462195,4144.13294462195,3213.36705537805,3213.36705537805,asphalt,1.1575
0.06666666666666667,0.8237499956815837,0.22881944324488435,0.0,0.0,0.0,0.0,0.22881944324488435,0.0,0.00819337992980105,3.364415182109355,1000.0,1,0,0.005463700119220371,0.005463700119220371,0.674804637566239,0.674804637566239,4145.741413484812,4145.741413484812,3211.7585865151873,3211.7585865151873,asphalt,1.1575
0.08333333333333333,1.02481833148809,0.2846717587466917,0.0,0.0,0.0,0.0,0.2846717587466917,0.0,0.012589292538391937,3.3431896001990857,1000.0,1,0,0.006883960194475899,0.006883960194475899,0.6732790835123139,0.6732790835123139,4147.339960025742,4147.339960025742,3210.1600399742583,3210.1600399742583,asphalt,1.1575
0.09999999999999999,1.2246180478851676,0.3401716799681021,0.0,0.0,0.0,0.0,0.3401716799681021,0.0,0.01791240345783336,3.3220950017859385,1000.0,1,0,0.0082941750642831,0.0082941750642831,0.6717616950916612,0.6717616950916612,4148.928642611235,4148.928642611235,3208.5713573887647,3208.5713573887647,asphalt,1.1575
0.11666666666666665,1.4231569749475652,0.3953213819298792,0.0,0.0,0.0,0.0,0.3953213819298792,0.0,0.024156862123307737,3.301130615776664,1000.0,1,0,0.00969442152453407,0.00969442152453407,0.6702524380169199,0.6702524380169199,4150.507519300845,4150.507519300845,3206.9924806991544,3206.9924806991544,asphalt,1.1575
0.13333333333333333,1.6204428966368716,0.4501230268435754,0.0,0.0,0.0,0.0,0.4501230268435754,0.0,0.03131685408682613,3.280295675141036,1000.0,1,0,0.011084775709160829,0.011084775709160829,0.6687512780377253,0.6687512780377253,4152.076647848314,4152.076647848314,3205.4233521516862,3205.4233521516862,asphalt,1.1575
0.15,1.8164835510447304,0.5045787641790918,0.0,0.0,0.0,0.0,0.5045787641790918,0.0,0.039386600804445476,3.259589416896751,1000.0,1,0,0.01246531309679517,0.01246531309679517,0.6672581809420095,0.6672581809420095,4153.636085702712,4153.636085702712,3203.863914297288,3203.863914297288,asphalt,1.1575
0.16666666666666666,2.0112866306351456,0.5586907307319848,0.0,0.0,0.0,0.0,0.5586907307319848,0.0,0.048360359424609166,3.2390110820942386,1000.0,1,0,0.013836108517349694,0.013836108517349694,0.6657731125572881,0.6657731125572881,4155.185890009582,4155.185890009582,3202.314109990417,3202.314109990417,asphalt,1.1575
0.18333333333333332,2.204859782485872,0.61246105069052,0.0,0.0,0.0,0.0,0.61246105069052,0.0,0.05823242257760676,3.2185599158013556,1000.0,1,0,0.015197236158521149,0.015197236158521149,0.6642960387519289,0.6642960387519289,4156.726117612082,4156.726117612082,3200.773882387918,3200.773882387918,asphalt,1.1575
0.19999999999999998,2.3972106085288933,0.6658918357024703,0.0,0.0,0.0,0.0,0.6658918357024703,0.0,0.06899711816614865,3.198235167088237,1000.0,1,0,0.016548769572216987,0.016548769572216987,0.6628269254364079,0.6628269254364079,4158.256825052133,4158.256825052133,3199.2431749478665,3199.2431749478665,asphalt,1.1575
0.21666666666666665,2.5883466657899823,0.7189851849416617,0.0,0.0,0.0,0.0,0.7189851849416617,0.0,0.08064880915705132,3.178036089011975,1000.0,1,0,0.01789078168090643,0.01789078168090643,0.6613657385645447,0.6613657385645447,4159.778068571566,4159.778068571566,3197.721931428434,3197.721931428434,asphalt,1.1575
0.2333333333333333,2.7782754666273464,0.7717431851742629,0.0,0.0,0.0,0.0,0.7717431851742629,0.0,0.09318189337402917,3.157961938601286,1000.0,1,0,0.019223344783896847,0.019223344783896847,0.6599124441347262,0.6599124441347262,4161.289904113268,4161.289904113268,3196.210095886732,3196.210095886732,asphalt,1.1575
0.24999999999999997,2.9670044789693497,0.8241679108248193,0.0,0.0,0.0,0.0,0.8241679108248193,0.0,0.10659080329158828,3.138011976841213,1000.0,1,0,0.020546530563536523,0.020546530563536523,0.6584670081911129,0.6584670081911129,4162.792387322346,4162.792387322346,3194.707612677653,3194.707612677653,asphalt,1.1575
0.26666666666666666,3.154541126551318,0.8762614240420328,0.0,0.0,0.0,0.0,0.8762614240420328,0.0,0.12087000583001835,3.1181854686577815,1000.0,1,0,0.021860410091344894,0.021860410091344894,0.6570293968248286,0.6570293968248286,4164.28557354727,4164.28557354727,3193.2144264527296,3193.2144264527296,asphalt,1.1575
0.2833333333333333,3.34089278915142,0.9280257747642833,0.0,0.0,0.0,0.0,0.9280257747642833,0.0,0.13601400215147808,3.0984816829025963,1000.0,1,0,0.02316505383407115,0.02316505383407115,0.6555995761751368,0.6555995761751368,4165.769517841034,4165.769517841034,3191.730482158965,3191.730482158965,asphalt,1.1575
