t,speed_kmh,speed_ms,yaw_rate,sideslip,heading,vx,vy,pos_x,pos_y,accel_long,rpm,gear,shift_cut,grip_FL,grip_FR,grip_RL,grip_RR,load_FL,load_FR,load_RL,load_RR,surface_type,surface_mu
0.016666666666666666,0.3514158967272287,0.09761552686867464,0.0,0.0,0.0,0.0,0.09761552686867464,0.0,0.0010058986539321288,5.973529305246162,1000.0,1,0,0.0,0.0,1.0,1.0,3950.470740799788,3950.470740799788,3407.0292592002115,3407.0292592002115,asphalt,1.1575
0.03333333333333333,0.7098932571582386,0.19719257143284405,0.0,0.0,0.0,0.0,0.19719257143284405,0.0,0.003670080902189847,5.974663801978259,1000.0,1,0,0.0,0.0,1.0,1.0,3949.862074865708,3949.862074865708,3407.6379251342914,3407.6379251342914,asphalt,1.1575
0.05,1.0683722660101627,0.29677007389171184,0.0,0.0,0.0,0.0,0.29677007389171184,0.0,0.007993889957006367,5.974640342410824,1000.0,1,0,0.0,0.0,1.0,1.0,3949.863423281472,3949.863423281472,3407.6365767185275,3407.6365767185275,asphalt,1.1575
0.06666666666666667,1.4268494309905928,0.3963470641640535,0.0,0.0,0.0,0.0,0.3963470641640535,0.0,0.013977318956426964,5.9746054947116445,1000.0,1,0,0.0,0.0,1.0,1.0,3949.8658381797845,3949.8658381797845,3407.634161820215,3407.634161820215,asphalt,1.1575
0.08333333333333333,1.785324095335943,0.49592335981553975,0.0,0.0,0.0,0.0,0.49592335981553975,0.0,0.02162035746188292,5.974559719863679,1000.0,1,0,0.0,0.0,1.0,1.0,3949.869074843651,3949.869074843651,3407.6309251563484,3407.6309251563484,asphalt,1.1575
0.09999999999999999,2.1437956034397514,0.5954987787332643,0.0,0.0,0.0,0.0,0.5954987787332643,0.0,0.030922991999342567,5.974503018376973,1000.0,1,0,0.0,0.0,1.0,1.0,3949.8731331518093,3949.8731331518093,3407.6268668481907,3407.6268668481907,asphalt,1.1575
0.11666666666666665,2.5022632997185053,0.6950731388106959,0.0,0.0,0.0,0.0,0.6950731388106959,0.0,0.0418852060596245,5.974435390656483,1000.0,1,0,0.0,0.0,1.0,1.0,3949.878013075282,3949.878013075282,3407.6219869247175,3407.6219869247175,asphalt,1.1575
0.13333333333333333,2.860726528615979,0.7946462579488831,0.0,0.0,0.0,0.0,0.7946462579488831,0.0,0.054506980098515685,5.974356837186914,1000.0,1,0,0.0,0.0,1.0,1.0,3949.8837145791204,3949.8837145791204,3407.616285420879,3407.616285420879,asphalt,1.1575
0.15,3.219184634608031,0.8942179540577864,0.0,0.0,0.0,0.0,0.8942179540577864,0.0,0.06878829153691167,5.974267358532961,1000.0,1,0,0.0,0.0,1.0,1.0,3949.8902376223623,3949.8902376223623,3407.6097623776377,3407.6097623776377,asphalt,1.1575
0.16666666666666666,3.5776369622073965,0.9937880450576101,0.0,0.0,0.0,0.0,0.9937880450576101,0.0,0.084729114760979,5.974166955339255,1000.0,1,0,0.0,0.0,1.0,1.0,3949.8975821580398,3949.8975821580398,3407.60241784196,3407.60241784196,asphalt,1.1575
0.18333333333333332,3.9360828559684835,1.0933563488801343,0.0,0.0,0.0,0.0,1.0933563488801343,0.0,0.10232942112233975,5.974055628330284,1000.0,1,0,0.0,0.0,1.0,1.0,3949.905748133176,3949.905748133176,3407.5942518668235,3407.5942518668235,asphalt,1.1575
0.19999999999999998,4.294521660492164,1.1929226834700455,0.0,0.0,0.0,0.0,1.1929226834700455,0.0,0.12158917893827843,5.973933378310363,1000.0,1,0,0.0,0.0,1.0,1.0,3949.9147354887887,3949.9147354887887,3407.585264511211,3407.585264511211,asphalt,1.1575
0.21666666666666665,4.652952720430567,1.2924868667862686,0.0,0.0,0.0,0.0,1.2924868667862686,0.0,0.14250835349197088,5.973800206163773,1000.0,1,0,0.0,0.0,1.0,1.0,3949.924544159888,3949.924544159888,3407.5754558401118,3407.5754558401118,asphalt,1.1575
0.2333333333333333,5.0113753804918755,1.3920487168032987,0.0,0.0,0.0,0.0,1.3920487168032987,0.0,0.16508690703273549,5.973656112854702,1000.0,1,0,0.0,0.0,1.0,1.0,3949.9351740754737,3949.9351740754737,3407.564825924526,3407.564825924526,asphalt,1.1575
0.24999999999999997,5.36978898544511,1.4916080515125305,0.0,0.0,0.0,0.0,1.4916080515125305,0.0,0.18932479877630654,5.973501099427008,1000.0,1,0,0.0,0.0,1.0,1.0,3949.9466251585463,3949.9466251585463,3407.553374841453,3407.553374841453,asphalt,1.1575
0.26666666666666666,5.728192880124925,1.5911646889235902,0.0,0.0,0.0,0.0,1.5911646889235902,0.0,0.21522198490512967,5.973335167004539,1000.0,1,0,0.0,0.0,1.0,1.0,3949.9588973261048,3949.9588973261048,3407.541102673895,3407.541102673895,asphalt,1.1575
0.2833333333333333,6.086586409436394,1.6907184470656649,0.0,0.0,0.0,0.0,1.6907184470656649,0.0,0.24277841856867977,5.973158316790919,1000.0,1,0,0.0,0.0,1.0,1.0,3949.97199048914,3949.97199048914,3407.5280095108596,3407.5280095108596,asphalt,1.1575
0.3,6.444968918359801,1.7902691439888336,0.0,0.0,0.0,0.0,1.7902691439888336,0.0,0.27199404988380066,5.972970550069547,1000.0,1,0,0.0,0.0,1.0,1.0,3949.9859045526437,3949.9859045526437,3407.5140954473554,3407.5140954473554,asphalt,1.1575
0.31666666666666665,6.803339751955426,1.889816597765396,0.0,0.0,0.0,0.0,1.889816597765396,0.0,0.3028688259350672,5.972771868203548,1000.0,1,0,0.0,0.0,1.0,1.0,3950.0006394156144,3950.0006394156144,3407.499360584385,3407.499360584385,asphalt,1.1575
0.3333333333333333,7.161698255368327,1.9893606264912018,0.0,0.0,0.0,0.0,1.9893606264912018,0.0,0.33540269077516954,5.972562272635873,1000.0,1,0,0.0,0.0,1.0,1.0,3950.0161949710505,3950.0161949710505,3407.483805028949,3407.483805028949,asphalt,1.1575
0.35,7.520043773833132,2.088901048286981,0.0,0.0,0.0,0.0,2.088901048286981,0.0,0.3695955854253195,5.972341764889251,1000.0,1,0,0.0,0.0,1.0,1.0,3950.0325711059436,3950.0325711059436,3407.467428894056,3407.467428894056,asphalt,1.1575
0.36666666666666664,7.878375652678815,2.188437681299671,0.0,0.0,0.0,0.0,2.188437681299671,0.0,0.40544744787567877,5.97211034656592,1000.0,1,0,0.0,0.0,1.0,1.0,3950.049767701311,3950.049767701311,3407.4502322986887,3407.4502322986887,asphalt,1.1575
0.3833333333333333,8.236693237333485,2.287970343703746,0.0,0.0,0.0,0.0,2.287970343703746,0.0,0.4429582130858099,5.971868019348108,1000.0,1,0,0.0,0.0,1.0,1.0,3950.0677846321587,3950.0677846321587,3407.4322153678413,3407.4322153678413,asphalt,1.1575
0.39999999999999997,8.594995873329157,2.3874988537025437,0.0,0.0,0.0,0.0,2.3874988537025437,0.0,0.4821278129851491,5.971614784997392,1000.0,1,0,0.0,0.0,1.0,1.0,3950.0866217675143,3950.0866217675143,3407.4133782324852,3407.4133782324852,asphalt,1.1575
0.41666666666666663,8.953282906306537,2.4870230295295936,0.0,0.0,0.0,0.0,2.4870230295295936,0.0,0.5229561764735009,5.97135064535518,1000.0,1,0,0.0,0.0,1.0,1.0,3950.10627897041,3950.10627897041,3407.3937210295894,3407.3937210295894,asphalt,1.1575
0.4333333333333333,9.311553682019797,2.5865426894499435,0.0,0.0,0.0,0.0,2.5865426894499435,0.0,0.565443229421555,5.971075602342388,1000.0,1,0,0.0,0.0,1.0,1.0,3950.1267560979004,3950.1267560979004,3407.3732439020987,3407.3732439020987,asphalt,1.1575
0.44999999999999996,9.669807546341346,2.686057651761485,0.0,0.0,0.0,0.0,2.686057651761485,0.0,0.6095888946714259,5.97078965795955,1000.0,1,0,0.0,0.0,1.0,1.0,3950.148053001052,3950.148053001052,3407.3519469989474,3407.3519469989474,asphalt,1.1575
0.4666666666666666,10.028043845266616,2.785567734796282,0.0,0.0,0.0,0.0,2.785567734796282,0.0,0.6553930920372136,5.9704928142867075,1000.0,1,0,0.0,0.0,1.0,1.0,3950.170169524937,3950.170169524937,3407.3298304750624,3407.3298304750624,asphalt,1.1575
0.4833333333333333,10.386261924918813,2.8850727569218924,0.0,0.0,0.0,0.0,2.8850727569218924,0.0,0.7028557383055876,5.970185073483414,1000.0,1,0,0.0,0.0,1.0,1.0,3950.193105508673,3950.193105508673,3407.3068944913266,3407.3068944913266,asphalt,1.1575
0.49999999999999994,10.74446113155371,2.984572536542697,0.0,0.0,0.0,0.0,2.984572536542697,0.0,0.7519767472363915,5.969866437788838,1000.0,1,0,0.0,0.0,1.0,1.0,3950.216860785374,3950.216860785374,3407.2831392146254,3407.2831392146254,asphalt,1.1575
0.5166666666666666,11.102640811564392,3.08406689210122,0.0,0.0,0.0,0.0,3.08406689210122,0.0,0.802756029563271,5.969536909521338,1000.0,1,0,0.0,0.0,1.0,1.0,3950.2414351822003,3950.2414351822003,3407.258564817799,3407.258564817799,asphalt,1.1575
0.5333333333333333,11.460800311486034,3.1835556420794537,0.0,0.0,0.0,0.0,3.1835556420794537,0.0,0.8551934929943231,5.969196491078783,1000.0,1,0,0.0,0.0,1.0,1.0,3950.2668285203326,3950.2668285203326,3407.233171479667,3407.233171479667,asphalt,1.1575
0.55,11.818938978000661,3.2830386050001836,0.0,0.0,0.0,0.0,3.2830386050001836,0.0,0.9092890422127681,5.9688451849385515,1001.3462454596057,1,0,0.0,0.0,1.0,1.0,3950.2930406149817,3950.2930406149817,3407.2069593850183,3407.2069593850183,asphalt,1.1575
0.5666666666666668,12.177056157941905,3.382515599428307,0.0,0.0,0.0,0.0,3.382515599428307,0.0,0.9650425788776429,5.968482993657105,1009.5860928424454,1,0,0.0,0.0,1.0,1.0,3950.320071275402,3950.320071275402,3407.1799287245976,3407.1799287245976,asphalt,1.1575
0.5833333333333335,12.535151198299776,3.48198644397216,0.0,0.0,0.0,0.0,3.48198644397216,0.0,1.022454001624517,5.968109919870308,1023.8044032039135,1,0,0.0,0.0,1.0,1.0,3950.347920304863,3950.347920304863,3407.1520796951368,3407.1520796951368,asphalt,1.1575
0.6000000000000002,12.893223446225397,3.5814509572848325,0.0,0.0,0.0,0.0,3.5814509572848325,0.0,1.0815232060662294,5.967725966293429,1042.6405475677648,1,0,0.0,0.0,1.0,1.0,3950.376587500694,3950.376587500694,3407.1234124993057,3407.1234124993057,asphalt,1.1575
0.6166666666666669,13.251272249035779,3.680908958065494,0.0,0.0,0.0,0.0,3.680908958065494,0.0,1.1422500847936494,5.967331135720713,1065.0434428419005,1,0,0.0,0.0,1.0,1.0,3950.4060726542625,3950.4060726542625,3407.093927345737,3407.093927345737,asphalt,1.1575
0.6333333333333336,13.609296954218559,3.7803602650607107,0.0,0.0,0.0,0.0,3.7803602650607107,0.0,1.2046345273764578,5.9669254310257,1090.2011268561464,1,0,0.0,0.0,1.0,1.0,3950.436375550981,3950.436375550981,3407.0636244490183,3407.0636244490183,asphalt,1.1575
0.6500000000000004,13.967296909436747,3.879804697065763,0.0,0.0,0.0,0.0,3.879804697065763,0.0,1.2686764203639505,5.966508855161017,1117.486355659295,1,0,0.0,0.0,1.0,1.0,3950.467495970315,3950.467495970315,3407.0325040296843,3407.0325040296843,asphalt,1.1575
0.6666666666666671,14.325271462533479,3.9792420729259663,0.0,0.0,0.0,0.0,3.9792420729259663,0.0,1.3343756472858637,5.966081411158264,1146.4145779237024,1,0,0.0,0.0,1.0,1.0,3950.4994336857753,3950.4994336857753,3407.0005663142238,3407.0005663142238,asphalt,1.1575
0.6833333333333338,14.683219961536754,4.078672211537987,0.0,0.0,0.0,0.0,4.078672211537987,0.0,1.401732088653223,5.965643102128126,1176.611470585829,1,0,0.0,0.0,1.0,1.0,3950.5321884649343,3950.5321884649343,3406.9678115350653,3406.9678115350653,asphalt,1.1575
0.7000000000000005,15.041141754664181,4.178094931851161,0.0,0.0,0.0,0.0,4.178094931851161,0.0,1.4707456219592112,5.965193931260586,1207.7878604713458,1,0,0.0,0.0,1.0,1.0,3950.565760069433,3950.565760069433,3406.934239930566,3406.934239930566,asphalt,1.1575
0.7166666666666672,15.399036190327704,4.277510052868807,0.0,0.0,0.0,0.0,4.277510052868807,0.0,1.541416121680061,5.964733901823962,1239.7203515327265,1,0,0.0,0.0,1.0,1.0,3950.600148254967,3950.600148254967,3406.8998517450327,3406.8998517450327,asphalt,1.1575
0.733333333333334,15.756902617138348,4.376917393649541,0.0,0.0,0.0,0.0,4.376917393649541,0.0,1.6137434592759679,5.964263017165763,1272.2363596210218,1,0,0.0,0.0,1.0,1.0,3950.635352771275,3950.635352771275,3406.8646472287246,3406.8646472287246,asphalt,1.1575
0.7500000000000007,16.11474038391094,4.476316773308595,0.0,0.0,0.0,0.0,4.476316773308595,0.0,1.6877275031920258,5.963781280712581,1305.2025520346342,1,0,0.0,0.0,1.0,1.0,3950.671373362231,3950.671373362231,3406.8286266377686,3406.8286266377686,asphalt,1.1575
0.7666666666666674,16.472548839668846,4.575708011019124,0.0,0.0,0.0,0.0,4.575708011019124,0.0,1.7633681188591843,5.96328869596924,1338.515917222484,1,0,0.0,0.0,1.0,1.0,3950.7082097657135,3950.7082097657135,3406.791790234286,3406.791790234286,asphalt,1.1575
0.7833333333333341,16.830327333648693,4.675090926013525,0.0,0.0,0.0,0.0,4.675090926013525,0.0,1.840665168695227,5.962785266519859,1372.0968662519367,1,0,0.0,0.0,1.0,1.0,3950.7458617137345,3950.7458617137345,3406.7541382862646,3406.7541382862646,asphalt,1.1575
0.8000000000000008,17.188075215305076,4.7744653375847435,0.0,0.0,0.0,0.0,4.7744653375847435,0.0,1.919618512105774,5.962270996026575,1405.8839037908792,1,0,0.0,0.0,1.0,1.0,3950.784328932359,3950.784328932359,3406.71567106764,3406.71567106764,asphalt,1.1575
0.8166666666666675,17.545791834315303,4.873831065087584,0.0,0.0,0.0,0.0,4.873831065087584,0.0,2.0002280054853037,5.961745888230823,1439.829511519847,1,0,0.0,0.0,1.0,1.0,3950.823611141754,3950.823611141754,3406.6763888582454,3406.6763888582454,asphalt,1.1575
0.8333333333333343,17.90347654058408,4.973187927940022,0.0,0.0,0.0,0.0,4.973187927940022,0.0,2.0824935022181963,5.961209946952053,1473.8969681305002,1,0,0.0,0.0,1.0,1.0,3950.8637080561707,3950.8637080561707,3406.636291943829,3406.636291943829,asphalt,1.1575
0.850000000000001,18.26112868424825,5.0725357456245135,0.0,0.0,0.0,0.0,5.0725357456245135,0.0,2.1664148526798033,5.9606631760885875,1508.057892824264,1,0,0.0,0.0,1.0,1.0,3950.9046193839467,3950.9046193839467,3406.595380616053,3406.595380616053,asphalt,1.1575
0.8666666666666677,18.61874761568147,5.171874337689298,0.0,0.0,0.0,0.0,5.171874337689298,0.0,2.2519919042375327,5.960105579616766,1542.2903477045843,1,0,0.0,0.0,1.0,1.0,3950.9463448275524,3950.9463448275524,3406.553655172447,3406.553655172447,asphalt,1.1575
